title,duration,mpaa_rating,listed_in,release_year,media_type
Off Camera,3 Seasons,TV-MA,Stand-Up Comedy & Talk Shows,2015,TV Show
Pyaar Tune Kya Kiya,3 Seasons,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",2014,TV Show
Johnny Test,6 Seasons,TV-Y7,Kids' TV,2013,TV Show
Dawn of the Croods,4 Seasons,TV-Y7,Kids' TV,2017,TV Show
Degrassi: Next Class,4 Seasons,TV-14,"International TV Shows, TV Dramas, Teen TV Shows",2017,TV Show
Free Rein,3 Seasons,TV-G,"British TV Shows, Kids' TV, TV Dramas",2019,TV Show
Somebody Feed Phil,2 Seasons,TV-PG,Docuseries,2018,TV Show
Kakegurui,2 Seasons,TV-14,"International TV Shows, TV Dramas, TV Thrillers",2019,TV Show
Stranger Things,3 Seasons,TV-14,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",2019,TV Show
Kuromukuro,2 Seasons,TV-14,"Anime Series, International TV Shows",2016,TV Show
The Letdown,2 Seasons,TV-MA,"International TV Shows, TV Comedies, TV Dramas",2019,TV Show
A Very Secret Service,2 Seasons,TV-14,"International TV Shows, TV Comedies",2018,TV Show
SWORDGAI The Animation,2 Seasons,TV-MA,"Anime Series, International TV Shows",2018,TV Show
Yummy Mummies,2 Seasons,TV-14,"International TV Shows, Reality TV",2019,TV Show
LEGO Bionicle: The Journey to One,2 Seasons,TV-Y7-FV,Kids' TV,2016,TV Show
Kath and Kim,6 Seasons,TV-14,TV Comedies,2007,TV Show
El Chapo,3 Seasons,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure",2018,TV Show
"Big Dreams, Small Spaces",3 Seasons,TV-G,"British TV Shows, International TV Shows, Reality TV",2017,TV Show
My First First Love,2 Seasons,TV-PG,"International TV Shows, Korean TV Shows, Romantic TV Shows",2019,TV Show
Orange Is the New Black,7 Seasons,TV-MA,"TV Comedies, TV Dramas",2019,TV Show
Sugar Rush,2 Seasons,TV-PG,Reality TV,2019,TV Show
The Worst Witch,3 Seasons,TV-Y7,"British TV Shows, Kids' TV",2019,TV Show
Popples,3 Seasons,TV-Y,Kids' TV,2016,TV Show
Beat Bugs,3 Seasons,TV-Y,Kids' TV,2018,TV Show
Deep Undercover Collection,3 Seasons,TV-14,"Crime TV Shows, Docuseries",2017,TV Show
Fix It and Finish It,3 Seasons,TV-G,Reality TV,2014,TV Show
Home: Adventures with Tip & Oh,4 Seasons,TV-Y7,"Kids' TV, TV Comedies",2018,TV Show
Luna Petunia: Return to Amazia,2 Seasons,TV-Y,Kids' TV,2018,TV Show
Good Witch,4 Seasons,TV-PG,"TV Dramas, TV Sci-Fi & Fantasy",2018,TV Show
Comedians in Cars Getting Coffee,6 Seasons,TV-14,"Stand-Up Comedy & Talk Shows, TV Comedies",2019,TV Show
La casa de papel,3 Seasons,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2019,TV Show
Last Chance U,4 Seasons,TV-MA,Docuseries,2019,TV Show
Queer Eye,4 Seasons,TV-14,Reality TV,2019,TV Show
The Epic Tales of Captain Underpants,3 Seasons,TV-Y7,"Kids' TV, TV Comedies",2019,TV Show
"Can't Cope, Won't Cope",2 Seasons,TV-MA,"TV Comedies, TV Dramas",2018,TV Show
Intelligence,2 Seasons,TV-14,"Crime TV Shows, TV Dramas",2007,TV Show
Glee,6 Seasons,TV-PG,"TV Comedies, TV Dramas, Teen TV Shows",2015,TV Show
Pinky Malinky,3 Seasons,TV-Y7,"Kids' TV, TV Comedies",2019,TV Show
Wynonna Earp,3 Seasons,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas",2018,TV Show
The Joel McHale Show with Joel McHale,2 Seasons,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",2018,TV Show
H2O: Mermaid Adventures,2 Seasons,TV-Y7,Kids' TV,2015,TV Show
3Below: Tales of Arcadia,2 Seasons,TV-Y7-FV,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",2019,TV Show
Bonus Family,3 Seasons,TV-MA,"International TV Shows, TV Dramas",2019,TV Show
"Nightmare Tenants, Slum Landlords",2 Seasons,TV-MA,"British TV Shows, International TV Shows, Reality TV",2016,TV Show
Mossad 101,2 Seasons,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas",2017,TV Show
Baby Ballroom,2 Seasons,TV-14,"British TV Shows, International TV Shows, Reality TV",2018,TV Show
Hatchimals | Adventures in Hatchtopia,2 Seasons,TV-Y,Kids' TV,2018,TV Show
Tayo the Little Bus,2 Seasons,TV-Y,"Kids' TV, Korean TV Shows",2014,TV Show
NCIS,15 Seasons,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries",2017,TV Show
Being Mary Jane: The Series,4 Seasons,TV-14,"Romantic TV Shows, TV Dramas",2016,TV Show
Cheers,11 Seasons,TV-PG,"Classic & Cult TV, TV Comedies",1992,TV Show
El Barco,3 Seasons,NR,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2013,TV Show
Hostages,2 Seasons,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",2016,TV Show
Intersection,3 Seasons,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",2016,TV Show
The Andy Griffith Show,8 Seasons,TV-G,"Classic & Cult TV, TV Comedies",1967,TV Show
The Twilight Zone (Original Series),4 Seasons,TV-PG,"Classic & Cult TV, TV Sci-Fi & Fantasy",1963,TV Show
Twin Peaks,2 Seasons,TV-MA,"Classic & Cult TV, Crime TV Shows, TV Dramas",1990,TV Show
Unriddle,2 Seasons,TV-14,"Crime TV Shows, International TV Shows, TV Dramas",2012,TV Show
Between,2 Seasons,TV-14,"International TV Shows, TV Dramas, TV Mysteries",2016,TV Show
Marco Polo,2 Seasons,TV-MA,"TV Action & Adventure, TV Dramas",2016,TV Show
The Tudors,4 Seasons,TV-MA,TV Dramas,2010,TV Show
Episodes,5 Seasons,TV-MA,"Classic & Cult TV, TV Comedies",2017,TV Show
Tales by Light,3 Seasons,TV-PG,"Docuseries, International TV Shows, Science & Nature TV",2018,TV Show
Call My Agent!,3 Seasons,TV-MA,"International TV Shows, TV Comedies, TV Dramas",2018,TV Show
Anne with an E,2 Seasons,TV-PG,"International TV Shows, TV Dramas",2018,TV Show
